Pokémon: Detective Pikachu,6.6,7
Pet Sematary,5.7,5
Jack Ryan,8.1,8
Wild Things,6.6,8
Red Dragon,7.2,8
John Wick: Chapter 3 - Parabellum,7.4,9
Batman: Hush,6.9,8
Finding Steve McQueen,6.2,7
Fracture,7.2,9
Gattaca,7.8,9
EuroTrip,6.6,4
The Meg,5.6,6
Captive State,6,8
Paycheck,6.3,7
Ladder 49,6.5,7
Escape Room,6.4,7
Godzilla: King of the Monsters,6,8
Forgetting Sarah Marshall,7.1,7
Band Camp,5,5
BoJack Horseman,8.8,9
Final Space,8.3,9
Chuck,8.3,6
Chasing Mavericks,7.1,9
Beowulf,6.3,8
Full Metal Jacket,8.3,9
Boyka: Undisputed IV,7,7
Lore,7.1,6
I Am Wrath,5.4,6
Project X,6.7,8
Manhattan Nocturne,6.2,8
The Red Sea Diving Resort,6.6,7
The Boys,8.7,10
The Final Girls,6.5,6
Alita: Battle Angel,7.3,8
Another Life,5.3,5
The Commuter,6.3,8
Exam,6.8,6
The Vietnam War,9.1,10
Sweetwater,6.1,7
Spider-Man: Far from Home,7.4,6
The Curse of La Llorona,5.3,5
The Haunting of Hill House,8.6,9
La casa de papel,8.3,7
Shaft,6.4,9
Last Shift,5.8,6
The Taking,6,7
Brooklyn Nine-Nine,8.5,8
The Mummy,5.4,7
The Frozen Ground,6.4,7
The Ballad of Buster Scruggs,7.3,9
A Most Wanted Man,6.8,8
Gladiator,8.5,9
Trance,6.9,8
The Change-Up,6.3,8
Zack and Miri Make a Porno,6.6,7
Margin Call,7.1,8
Stealth,5,6
The Perfection,6.1,7
Captain Marvel,6.8,6
Big Nothing,6.7,9
The Lookout,7,7
Contagion,6.8,8
The Adjustment Bureau,7,7
Master and Commander: The Far Side of the World,7.4,8
Chernobyl,9.4,10
Friends,9,4
War Machine,6,6
Tidelands,6.9,7
Fair Game,6.8,7
The Other Guys,6.6,7
World War II in Colour,8.7,10
Spy Game,7.1,6
Buried,7,8
Eyes Wide Shut,7.5,3
Happy Death Day 2U,6.2,6
Sex Education,8.4,8
Inside Look: The People v. O.J. Simpson - American Crime Story,8.4,8
Hummingbird,6.2,7
Munich,7.5,8
Fargo,8.9,10
The November Man,6.3,7
Iron Man,7.9,8
Shaft,6,6
Avengers: Endgame,8.4,7
Heat,8.3,9
Snitch,6.4,7
50 First Dates,6.8,7
The Last Kingdom,8.5,9
The East,6.8,6
The Silence,5.3,7
Glass,6.6,8
State of Play,7.1,8
Taking Lives,6.2,6
The Raven,6.4,8
Stolen,5.5,5
Spider-Man: Into the Spider-Verse,8.4,9
Mortal Engines,6.1,7
Get the Gringo,6.9,7
Stay,6.7,7
Brooklyn's Finest,6.7,7
Dead Man Down,6.5,8
Thor,7,6
Free Solo,8.1,9
Fantastic Beasts: The Crimes of Grindelwald,6.5,6
Aquaman,6.9,7
Tower Heist,6.2,7
Love; Death & Robots,8.5,9
Burn After Reading,7,8
The Fall,8.2,8
Lord of War,7.6,9
28 Days Later...,7.5,7
Next,6.2,8
Tropic Thunder,7,7
Operation Finale,6.6,7
Die Hard,8.3,9
Kiss Kiss Bang Bang,7.5,8
United 93,7.6,8
Wonder Woman,7.3,8
Overlord,6.6,7
Die Hard 2,7.2,7
A Lonely Place to Die,6.2,7
Basic,6.4,7
Season of the Witch,5.4,6
Revenge,6.4,6
Creed II,7.1,7
Layer Cake,7.3,9
Serendipity,6.9,7
Sin City,8,8
Drag Me to Hell,6.6,6
Lost,8.4,7
Immortals,6,7
The Thing,6.2,8
The International,6.5,7
Killer Elite,6.4,7
The Recruit,6.6,7
Gerald's Game,6.5,5
Haywire,5.8,6
Whiskey Tango Foxtrot,6.6,7
Jarhead,7,8
Crank: High Voltage,6.2,8
The Debt,6.8,7
Drive,7.8,8
The Siege of Jadotville,7.2,8
Outlaw King,6.9,8
Se7en,8.6,9
Black Mirror: Bandersnatch,7.1,6
Bastille Day,6.3,6
End of Watch,7.6,8
Designated Survivor,7.5,7
Legion,5.2,7
Lost Girl,7.7,7
The Last Airbender,4,5
Anonymous,6.8,8
From Paris with Love,6.4,8
And Soon the Darkness,5.1,7
Disturbia,6.8,7
Polar,6.3,7
The Interpreter,6.4,8
Gone in Sixty Seconds,6.5,7
Into the Blue,5.9,6
Babel,7.5,8
The Den,6,7
Widows,6.9,8
The Wolfman,5.8,7
RocknRolla,7.3,9
Alpha Dog,6.9,8
The Girl in the Spider's Web,6.1,6
The Man from Earth: Holocene,5.3,6
Vacancy,6.2,7
Hunter Killer,6.6,8
Suits,8.5,7
Valkyrie,7.1,9
Bleach: Burîchu,6.4,7
Bird Box,6.6,7
The Expendables 3,6.1,7
Wild Target,6.8,8
Goosebumps 2: Haunted Halloween,5.6,5
The Death of Stalin,7.2,9
Zwartboek,7.7,9
Peppermint,6.5,7
Halloween,6.5,9
Entourage,6.5,7
Goal II: Living the Dream,5.8,6
Kickboxer: Retaliation,5,5
Bad Times at the El Royale,7.1,8
The Circle,5.3,5
A Simple Favor,6.8,8
Anon,6.1,8
A Perfect Getaway,6.5,7
A Dark Song,6.2,7
Midnight Special,6.6,8
Spectral,6.3,7
Only the Brave,7.6,8
The Predator,5.3,7
Page Eight,6.8,7
The Equalizer 2,6.7,7
Eden Lake,6.8,7
Sleepy Hollow,7.3,8
Kidnap,5.9,6
Mission: Impossible - Fallout,7.7,6
Mile 22,6.1,7
The Nines,6.2,7
Hotel Artemis,6.1,8
Pathology,5.9,5
Ant-Man and the Wasp,7,7
Unfriended: Dark Web,6,7
Jue di tao wang,5.6,6
The First Purge,5.2,7
Law Abiding Citizen,7.4,8
Solo: A Star Wars Story,6.9,8
Skyscraper,5.8,6
Sicario: Day of the Soldado,7.1,10
Jurassic World: Fallen Kingdom,6.2,6
Unthinkable,7.1,8
Upgrade,7.5,8
Hereditary,7.3,8
The Kingdom,7,6
Body of Lies,7,7
Traitor,7,6
The Only Living Boy in New York,6.3,6
The Simpsons Movie,7.3,8
Bruna Surfistinha,6.1,7
Bad Samaritan,6.4,6
The Perfect Storm,6.4,7
Der Untergang,8.2,10
The Miracle Season,6.5,7
Deadpool 2,7.7,8
First Blood,7.7,8
The Hills Have Eyes II,5.1,7
Shaun of the Dead,7.9,6
The Babysitter,6.4,8
